Category,English,Korean,Usage,Example,Source
travel,"What's the Wi-Fi password?","와이파이 비밀번호가 뭔가요?","숙소나 카페에서 인터넷 연결이 필요할 때 씁니다.","","csv"
travel,"Can I take a photo here?","여기서 사진 찍어도 되나요?","박물관이나 매장에서 촬영 가능 여부를 확인합니다.","","csv"
travel,"Where is the fitting room?","탈의실이 어디인가요?","옷을 입어보고 싶을 때 점원에게 묻습니다.","","csv"
travel,"I'll take this one.","이걸로 할게요.","쇼핑 중 구매 결정을 내렸을 때 하는 말입니다.","","csv"
travel,"Could you give me a discount?","좀 깎아주실 수 있나요?","시장 등에서 흥정할 때 조심스럽게 써볼 수 있습니다.","","csv"
travel,"Is it within walking distance?","걸어갈 수 있는 거리인가요?","지도를 보며 이동 수단을 결정할 때 묻습니다.","","csv"
travel,"I'm looking for this address.","이 주소로 가려고 하는데요.","길을 잃었을 때 행인에게 주소를 보여주며 묻습니다.","","csv"
travel,"Could you repeat that more slowly?","좀 더 천천히 다시 말씀해주실래요?","상대방의 말이 너무 빨라 이해하지 못했을 때 씁니다.","","csv"
travel,"Can I leave my bags here for a while?","짐을 잠시 맡길 수 있을까요?","호텔 체크아웃 후 관광할 때 짐 보관을 요청합니다.","","csv"
travel,"What is the most popular dish here?","여기서 제일 인기 있는 메뉴가 뭐예요?","메뉴 결정이 어려울 때 추천을 받습니다.","","csv"
travel,"Excuse me, I'm lost.","실례합니다. 길을 잃었어요.","도움을 요청하기 위해 대화를 시작하는 문장입니다.","","csv"
travel,"Does this bus go to the airport?","이 버스 공항 가나요?","타려는 버스의 목적지를 다시 확인할 때 씁니다.","","csv"
travel,"Is there a pharmacy nearby?","근처에 약국이 있나요?","비상 약이 필요할 때 현지인에게 묻습니다.","","csv"
travel,"Can I try this on?","이거 입어봐도 될까요?","의류 매장에서 피팅을 요청할 때 씁니다.","","csv"
travel,"I'd like to rent a car.","차를 렌트하고 싶습니다.","렌터카 업체에서 상담을 시작할 때 씁니다.","","csv"
travel,"What's the best way to get there?","거기 가는 가장 좋은 방법이 뭐예요?","가장 빠르거나 편한 경로를 추천받을 때 씁니다.","","csv"
travel,"Could you point me in the right direction?","방향 좀 알려주실 수 있나요?","길 찾기가 어려울 때 대략적인 방향을 묻습니다.","","csv"
travel,"The air conditioning is not working.","에어컨이 작동하지 않아요.","방이나 기내 시설에 문제가 생겼을 때 알립니다.","","csv"
travel,"I'm just looking thanks.","그냥 구경하는 중이에요. 감사합니다.","상점에서 직원이 다가올 때 부담 없이 거절하는 표현입니다.","","csv"
travel,"Could I have some water?","물 좀 주실 수 있나요?","비행기나 식당에서 물을 요청할 때 씁니다.","","csv"
travel,"Is this seat taken?","이 자리 비었나요?","카페나 기차에서 빈자리인지 확인할 때 씁니다.","","csv"
travel,"What time does the last train leave?","막차가 몇 시에 떠나나요?","일정을 마무리하며 돌아갈 시간을 확인할 때 씁니다.","","csv"
travel,"Can I get a refund?","환불받을 수 있나요?","구매한 물건을 돌려주고 싶을 때 요청합니다.","","csv"
travel,"Do you have this in a different size?","다른 사이즈도 있나요?","찾는 사이즈가 없을 때 재고를 확인합니다.","","csv"
travel,"Could you take a photo of me?","제 사진 좀 찍어주실 수 있나요?","관광지에서 다른 사람에게 사진 촬영을 부탁합니다.","","csv"
travel,"I need to see a doctor.","의사를 만나야겠어요.","몸이 갑자기 아플 때 주변에 알리는 긴급 표현입니다.","","csv"
travel,"How much is the admission fee?","입장료가 얼마인가요?","관광지나 박물관 입구에서 가격을 확인합니다.","","csv"
travel,"Is there a public restroom nearby?","근처에 공용 화장실이 있나요?","급하게 화장실을 찾아야 할 때 씁니다.","","csv"
travel,"Can I get a window seat?","창가 자리로 주실 수 있나요?","비행기 체크인 시 선호하는 좌석을 말합니다.","","csv"
travel,"My luggage didn't come out.","제 짐이 나오지 않았어요.","수하물 수령 장소에서 짐을 찾지 못했을 때 신고합니다.","","csv"
travel,"Could you recommend a good local restaurant?","현지 맛집 좀 추천해주시겠어요?","광고가 아닌 진짜 맛집을 찾고 싶을 때 씁니다.","","csv"
travel,"I'd like to extend my stay.","숙박을 연장하고 싶습니다.","호텔에서 하루 더 머물고 싶을 때 요청합니다.","","csv"
daily,"How's it going?","어떻게 지내요?","Hi보다 조금 더 친근하게 안부를 묻는 인사입니다.","","csv"
daily,"Long time no see.","오랜만이에요.","상대방을 아주 오랜만에 만났을 때 쓰는 정겨운 표현입니다.","","csv"
daily,"What's up?","별일 없어요? / 뭐해?","가까운 친구 사이에서 아주 흔하게 쓰는 안부 인사입니다.","","csv"
daily,"I'm doing great. Thanks","잘 지내고 있어요. 고마워요.","안부 질문에 대한 가장 긍정적이고 깔끔한 대답입니다.","","csv"
daily,"Have a good one!","좋은 하루 보내세요!","헤어질 때 'Have a nice day' 대신 편하게 쓰는 표현입니다.","","csv"
daily,"It's on me.","내가 낼게요.","계산할 때 자신이 비용을 지불하겠다고 멋지게 말하는 법입니다.","","csv"
daily,"Could you do me a favor?","부탁 하나 들어줄 수 있어요?","무언가 도움을 요청하기 전에 정중히 운을 떼는 말입니다.","","csv"
daily,"Don't worry about it.","걱정 마세요. / 신경 쓰지 마세요.","실수를 사과하는 상대방을 안심시켜줄 때 씁니다.","","csv"
daily,"That's a relief.","다행이네요.","걱정하던 일이 잘 해결되었다는 말을 들었을 때 씁니다.","","csv"
daily,"I see what you mean.","무슨 말인지 알겠어요.","상대방의 의견이나 설명을 이해했을 때 고개를 끄덕이며 씁니다.","","csv"
daily,"Let me think about it.","생각 좀 해볼게요.","즉답하기 어렵거나 신중한 결정이 필요할 때 시간을 버는 말입니다.","","csv"
daily,"I'm on my way.","가는 중이에요.","약속 장소로 이동 중임을 알릴 때 씁니다.","","csv"
daily,"I'm running a bit late.","조금 늦어지고 있어요.","약속 시간보다 늦을 것 같을 때 미리 미안함을 담아 보냅니다.","","csv"
daily,"Never mind.","신경 쓰지 마세요. / 아니 됐어요.","방금 한 말을 취소하거나 별거 아니라고 할 때 씁니다.","","csv"
daily,"What do you do for fun?","취미가 뭐예요?","상대방의 관심사를 물어보며 대화를 시작할 때 좋습니다.","","csv"
daily,"I'm starving.","배고파 죽겠어요.","'hungry'보다 훨씬 배고픈 상태를 강조할 때 씁니다.","","csv"
daily,"Can I get your number?","번호 좀 알려줄 수 있어요?","더 연락하고 싶은 상대에게 연락처를 물을 때 씁니다.","","csv"
daily,"Let's catch up sometime.","조만간 한 번 봐요.","헤어질 때 형식적으로 혹은 진심으로 만남을 기약할 때 씁니다.","","csv"
daily,"I'm exhausted.","완전 지쳤어요.","매우 피곤하고 기운이 없을 때 'tired' 대신 써보세요.","","csv"
daily,"That sounds great.","그거 좋겠네요.","상대방의 제안에 찬성하거나 기대감을 나타낼 때 씁니다.","","csv"
daily,"I'm not sure.","잘 모르겠어요.","확신이 없거나 조심스럽게 거절의 뜻을 내비칠 때 씁니다.","","csv"
daily,"It's up to you.","너한테 달렸어 / 네 마음대로 해.","결정을 상대방의 선택에 맡길 때 쓰는 유용한 표현입니다.","","csv"
daily,"I don't mind.","난 상관없어.","어느 쪽이든 괜찮다는 쿨한 반응을 보일 때 씁니다.","","csv"
daily,"Take your time.","천천히 하세요.","상대방이 서두르는 것 같을 때 안심시켜주는 배려 섞인 말입니다.","","csv"
daily,"Keep in touch.","연락하고 지내요.","헤어질 때 앞으로도 계속 소식을 나누자는 인사입니다.","","csv"
daily,"Tell me more about it.","좀 더 자세히 말해봐요.","상대방의 이야기에 관심을 보이며 계속 듣고 싶을 때 씁니다.","","csv"
daily,"I'm so sorry for the late reply.","답장이 늦어서 정말 미안해요.","메시지나 이메일 답장이 늦었을 때 사과하는 매너 문구입니다.","","csv"
daily,"I totally agree with you.","완전 동감이에요.","상대방의 생각과 내 생각이 일치할 때 강하게 동의합니다.","","csv"
daily,"What a coincidence!","정말 우연이네요!","생각지 못한 곳에서 누군가를 만나거나 같은 생각을 했을 때 씁니다.","","csv"
daily,"I'm looking forward to it.","정말 기대돼요.","다가올 약속이나 이벤트에 대한 설렘을 표현합니다.","","csv"
daily,"I'm in a hurry.","저 지금 좀 급해요.","바쁜 상황이라 길게 대화하기 어려울 때 양해를 구합니다.","","csv"
daily,"Just in case.","혹시 모르니까요.","만약의 상황을 대비해서 무언가를 할 때 덧붙이는 말입니다.","","csv"
daily,"I didn't mean to.","그럴 의도는 아니었어요.","내 의도와 다르게 오해가 생겼을 때 해명하며 쓰는 말입니다.","","csv"
daily,"It was nice meeting you.","만나서 반가웠어요.","처음 본 사람과 헤어질 때 격식 있게 인사하는 법입니다.","","csv"
daily,"Good for you!","잘됐네요! / 잘했어!","상대방의 성취나 좋은 소식을 진심으로 축하해줄 때 씁니다.","","csv"
daily,"I have no idea.","전혀 모르겠어요.","'I don't know'보다 조금 더 강하게 모른다는 사실을 강조합니다.","","csv"
daily,"That's interesting.","그거 흥미롭네요.","대화 중에 흥미로운 점을 발견했거나 리액션할 때 씁니다.","","csv"
daily,"What do you mean by that?","그게 무슨 뜻이에요?","상대방의 말이 이해가 안 되어 구체적인 설명을 원할 때 씁니다.","","csv"
daily,"I'll check and let you know.","확인해보고 알려줄게요.","정보를 찾아본 뒤 알려주겠다고 약속할 때 씁니다.","","csv"
daily,"Can you help me with this?","이것 좀 도와줄 수 있어요?","작은 부탁이나 도움을 요청할 때 편하게 쓰는 표현입니다.","","csv"
daily,"It doesn't matter.","상관없어요. / 중요하지 않아요.","결과가 어떻든 나에게 큰 영향이 없을 때 씁니다.","","csv"
daily,"I'll be right back.","금방 올게요.","잠시 자리를 비워야 할 때 기다려달라는 의미로 씁니다.","","csv"
daily,"It's worth it.","그럴 가치가 있어요.","노력이나 돈을 들일 만한 가치가 있다고 추천할 때 씁니다.","","csv"
daily,"I'm proud of you.","네가 자랑스러워.","친구 나 가족의 성과를 격려하고 칭찬할 때 쓰는 따뜻한 말입니다.","","csv"
daily,"You can do it!","넌 할 수 있어!","자신감이 떨어진 상대방에게 용기를 북돋아 줄 때 씁니다.","","csv"
daily,"Let's go for it.","한번 해보자!","새로운 일이나 도전을 시작하기로 결심했을 때 씁니다.","","csv"
daily,"Believe it or not.","믿거나 말거나.","믿기 힘든 사실을 말하기 전에 흥미를 유발하는 표현입니다.","","csv"
daily,"Same here.","저도 마찬가지예요.","'Me too'의 조금 더 자연스러운 구어체 표현입니다.","","csv"
daily,"No way!","설마! / 말도 안 돼!","놀라운 소식을 들었을 때 강한 부정이나 감탄을 나타냅니다.","","csv"
daily,"Chill out.","진정해. / 좀 쉬어.","흥분한 사람을 달래거나 여유를 가지라고 할 때 씁니다.","","csv"
biz,"Could you send me the agenda?","의제를 미리 보내주시겠어요?","회의 전에 논의할 내용을 파악하기 위해 요청합니다.","","csv"
biz,"Let's get down to business.","본론으로 들어갑시다.","인사말을 끝내고 본격적으로 업무 이야기를 시작할 때 씁니다.","","csv"
biz,"I'd like to point out that...","~라는 점을 지적하고 싶습니다.","논의 중에 중요한 포인트를 강조하거나 짚고 넘어갈 때 씁니다.","","csv"
biz,"In my opinion we should…","제 생각에는 우리 ~해야 합니다.","자신의 의견을 정중하면서도 명확하게 제시할 때 씁니다.","","csv"
biz,"Could you elaborate on that?","그 부분에 대해 좀 더 상세히 설명해주실래요?","상대방의 제안이나 아이디어에 대해 추가 정보가 필요할 때 씁니다.","","csv"
biz,"I'm afraid I can't agree.","죄송하지만 동의하기 어렵습니다.","반대 의견을 정중하게 표현할 때 사용하는 비즈니스 매너입니다.","","csv"
biz,"What's the deadline for this project?","이 프로젝트 마감 기한이 언제인가요?","업무의 우선순위를 정하기 위해 기한을 확인합니다.","","csv"
biz,"I'll take care of it.","제가 처리하겠습니다.","자신이 책임을 지고 업무를 수행하겠다는 의지를 보일 때 씁니다.","","csv"
biz,"Let's wrap up this meeting.","이 회의를 마무리합시다.","논의가 끝났을 때 회의를 정리하고 끝내기 위해 씁니다.","","csv"
biz,"We're on the same page.","우리는 같은 생각을 하고 있군요.","서로의 이해관계나 목표가 일치함을 확인할 때 씁니다.","","csv"
biz,"I'll follow up with an email.","이메일로 후속 조치를 취하겠습니다.","미팅 후 정리된 내용이나 추가 자료를 보내겠다고 약속할 때 씁니다.","","csv"
biz,"Could we reschedule the meeting?","미팅 일정을 다시 잡을 수 있을까요?","피치 못할 사정으로 일정을 변경해야 할 때 정중히 묻습니다.","","csv"
biz,"I'm sorry to interrupt but…","방해해서 죄송합니다만...","상대방의 말을 끊고 급하게 할 말이 있을 때 쓰는 매너 표현입니다.","","csv"
biz,"Thank you for your feedback.","의견 주셔서 감사합니다.","상대방의 지적이나 제안을 겸허히 수용할 때 씁니다.","","csv"
biz,"We need to reach a consensus.","합의점을 찾아야 합니다.","의견이 갈릴 때 모두가 동의하는 결론을 내야 함을 강조합니다.","","csv"
biz,"I'd like to propose a compromise.","절충안을 제안하고 싶습니다.","양측의 입장을 조금씩 양보하는 대안을 낼 때 씁니다.","","csv"
biz,"What are the next steps?","다음 단계는 무엇인가요?","회의를 마친 후 구체적으로 무엇을 해야 할지 확인할 때 씁니다.","","csv"
biz,"Let's touch base later this week.","이번 주 중에 다시 연락해서 확인해봅시다.","가볍게 중간 점검이나 추가 소통을 기약할 때 씁니다.","","csv"
biz,"I appreciate your cooperation.","협조해주셔서 감사합니다.","팀원이나 파트너사의 도움에 감사를 표할 때 씁니다.","","csv"
biz,"We have to stay within budget.","예산 범위 내에서 진행해야 합니다.","금전적인 제약을 상기시키며 신중한 지출을 독려할 때 씁니다.","","csv"
biz,"I'll look into it right away.","바로 조사해보겠습니다. / 확인하겠습니다.","문제 제기를 받았을 때 신속하게 처리하겠다는 반응입니다.","","csv"
biz,"Can you give me an update on...?","~에 대한 진행 상황을 알려주시겠어요?","특정 업무가 얼마나 진행되었는지 점검할 때 씁니다.","","csv"
biz,"I'd like to introduce my colleague.","제 동료를 소개해드리고 싶습니다.","미팅에서 팀원을 처음 소개할 때 씁니다.","","csv"
biz,"Let's think outside the box.","고정관념에서 벗어나 생각해봅시다.","창의적이고 새로운 아이디어가 필요할 때 팀원들을 독려하는 말입니다.","","csv"
biz,"The bottom line is...","결국 핵심은... / 결론은...","긴 논의 끝에 가장 중요한 포인트나 최종 결론을 낼 때 씁니다.","","csv"
biz,"I have a tight schedule today.","오늘 일정이 아주 빡빡합니다.","바쁜 상황임을 알리고 효율적인 시간 관리를 위해 양해를 구합니다.","","csv"
biz,"Could you walk me through the process?","그 과정을 처음부터 끝까지 설명해주실래요?","복잡한 업무 절차를 자세히 배우고 싶을 때 요청합니다.","","csv"
biz,"It's a win-win situation.","양측 모두에게 이득인 상황이네요.","협상 결과가 모두에게 긍정적일 때 기분 좋게 씁니다.","","csv"
biz,"We need to prioritize these tasks.","이 업무들의 우선순위를 정해야 합니다.","할 일은 많고 시간은 없을 때 효율적인 순서를 정하기 위해 씁니다.","","csv"
biz,"I'm sorry. I didn't quite catch that.","죄송합니다. 방금 하신 말씀을 잘 못 알아들었습니다.","회의나 통화 중 소리가 안 들리거나 이해가 안 됐을 때 씁니다.","","csv"
biz,"Let's move on to the next item.","다음 안건으로 넘어갑시다.","한 주제에 대한 논의가 끝나고 다음 순서로 넘어갈 때 씁니다.","","csv"
biz,"I'll be out of the office until Monday.","월요일까지 사무실을 비울 예정입니다.","자신의 부재 일정을 미리 공유하여 업무 차질을 막습니다.","","csv"
biz,"Could you put me through to...?","~님께 연결해주시겠어요?","전화 통화 시 특정 담당자와 연결을 요청할 때 씁니다.","","csv"
biz,"I'm calling regarding the contract.","계약 건과 관련하여 전화드렸습니다.","전화 통화 시 용건을 먼저 명확하게 밝힐 때 씁니다.","","csv"
biz,"Let's keep each other in the loop.","서로 상황을 계속 공유합시다.","중요한 프로젝트 진행 상황을 계속 업데이트하자는 약속입니다.","","csv"
biz,"We've reached an agreement.","합의에 도달했습니다. / 계약이 성사되었습니다.","오랜 협상 끝에 좋은 결과를 냈을 때 발표하는 말입니다.","","csv"
biz,"I'll send you the minutes of the meeting.","회의록을 보내드리겠습니다.","회의 내용을 정리한 문서를 공유하겠다고 약속할 때 씁니다.","","csv"
biz,"Can we jump on a quick call?","짧게 통화 가능할까요?","메신저보다 통화가 빠를 때 정중하게 대화를 요청합니다.","","csv"
biz,"That's out of my scope.","그건 제 담당 업무 범위를 벗어납니다.","자신의 역할이 아니거나 권한 밖의 일을 거절할 때 씁니다.","","csv"
biz,"Let's look at the big picture.","큰 그림을 봅시다. / 전체적인 관점에서 봅시다.","세부 사항에 매몰되지 않고 전체적인 전략을 생각하자고 할 때 씁니다.","","csv"
biz,"How do you plan to handle this?","이 건을 어떻게 처리할 계획인가요?","문제 해결 전략이나 대응 방안을 물을 때 씁니다.","","csv"
biz,"I'd like to get your input on this.","이 건에 대한 당신의 의견을 듣고 싶습니다.","동료나 상사에게 조언이나 아이디어를 구할 때 정중히 요청합니다.","","csv"
biz,"We need to streamline the process.","과정을 효율화(간소화)해야 합니다.","불필요한 절차를 줄여서 생산성을 높이자는 제안입니다.","","csv"
biz,"I'm fully committed to this project.","전 이 프로젝트에 전념하고 있습니다.","업무에 대한 자신의 강한 의지와 책임감을 표현할 때 씁니다.","","csv"
biz,"Let's table this discussion for now.","이 논의는 일단 보류합시다.","시간이 부족하거나 결론이 안 날 때 다음 기회로 미루기 위해 씁니다.","","csv"
biz,"I'll be in touch soon.","조만간 다시 연락드리겠습니다.","대화를 마무리하며 후속 연락을 약속하는 정중한 표현입니다.","","csv"
biz,"It's been a pleasure working with you.","함께 일하게 되어 즐거웠습니다.","프로젝트가 끝났거나 이직/퇴사 시 파트너에게 전하는 인사입니다.","","csv"
biz,"We've encountered a minor setback.","약간의 차질이 생겼습니다.","계획대로 되지 않은 부분이 생겼음을 보고할 때 씁니다.","","csv"
biz,"What's our competitive advantage?","우리의 경쟁 우위는 무엇인가요?","시장 전략을 짤 때 우리만의 강점을 묻는 질문입니다.","","csv"
biz,"I'll double-check the figures.","수치들을 다시 한번 확인해보겠습니다.","데이터의 정확성을 위해 재검토하겠다는 신중한 태도입니다.","","csv"
*   **어떤 상황에서 쓰면 좋은지**: 직장 동료나 비즈니스 파트너와의 가벼운 대화(small talk)에서 음식 취향을 이야기할 때,"점심 메뉴를 고르거나 회식 장소를 논의할 때","또는 케이터링 서비스 등 음식과 관련된 선호를 정중하고 명확하게 표현해야 할 때 사용하기에 좋습니다."",""A: """"We're planning a team dinner next week. Do you have any preference for the type of food?""","","","csv"
2.  **'ordinary'**: 사용자의 의도인 '아주 일반적이고 평범한'을 가장 잘 나타내는 형용사입니다. 'common'은 '흔한,"보통의'라는 뜻도 있지만","어떤 것을 '공유하는' 혹은 때로는 '천박한'이라는 뉘앙스를 가질 수 있어 '하루'를 묘사하는 데에는 'ordinary'나 'normal'","'typical'이 더 자연스럽습니다. 'ordinary'는 '특별할 것 없는","일상적인'이라는 의미를 명확히 전달합니다.","csv"
이 문장은 친구,"동료","가족 등 다양한 사람들과 일상 대화에서 편안하게 사용할 수 있는 표준적인 표현입니다."",""A: How was your day?","","","csv"
daily,"I missed you.","너가 그리웠어.","이 표현은 '보고 싶었다', '그리웠다'는 감정을 가장 자연스럽고 직접적으로 전달하는 문장입니다. 캐주얼 톤에서는 친구, 가족, 가까운 동료 등 친밀한 관계의 사람에게 편안하게 사용할 수 있습니다. 상대방의 부재를 느끼며 그 사람을 생각했다는 따뜻하고 솔직한 마음을 보여줍니다.","A: Long time no see! It's great to finally catch up.B: I know, right? I missed you!""","csv"
daily,"I missed you.","너가 그리웠어.","이 표현은 '보고 싶었다', '그리웠다'는 감정을 가장 자연스럽고 직접적으로 전달하는 문장입니다. 캐주얼 톤에서는 친구, 가족, 가까운 동료 등 친밀한 관계의 사람에게 편안하게 사용할 수 있습니다. 상대방의 부재를 느끼며 그 사람을 생각했다는 따뜻하고 솔직한 마음을 보여줍니다.","A: Long time no see! It's great to finally catch up.B: I know, right? I missed you!""","csv"
daily,"I'm going swimming later. I love swimming.","이따 수영하러 갈 거예요. 저는 수영을 무척 좋아해요.","이 문장은 'general' 톤에 매우 적합하며, 일상적인 대화에서 자신의 계획과 취미를 자연스럽게 표현하는 데 사용됩니다. 'I'm going swimming'은 가까운 미래의 계획을 나타낼 때 원어민들이 아주 흔하게 사용하는 표현이며, 'I love swimming'은 단순히 '좋아한다'는 것을 넘어 '정말 사랑할 만큼 무척 좋아한다'는 뉘앙스를 전달하여 '무지 좋아해'라는 사용자의 의도를 잘 반영합니다. 복잡하거나 격식 있는 문법 구조 없이 쉽고 편안하게 들리면서도 명확하게 의미를 전달합니다.","A: What are you doing this afternoon?B: I'm going swimming later. I love swimming.","ai_buddy"
